FPS: 5.1748796768, fr_cap: 0.00185894966125, t_calcs: 0.190061807632, imshow2: 0.00126004219055, tot: 0.193241208
FPS: 5.15412158455, fr_cap: 0.00152707099915, t_calcs: 0.191210985184, imshow2: 0.00123691558838, tot: 0.194019482
FPS: 5.24816193493, fr_cap: 0.00183582305908, t_calcs: 0.187426805496, imshow2: 0.00123119354248, tot: 0.190542901
FPS: 5.28239643817, fr_cap: 0.00172805786133, t_calcs: 0.186177968979, imshow2: 0.0013530254364, tot: 0.189308018
FPS: 5.26917404353, fr_cap: 0.00159406661987, t_calcs: 0.186940193176, imshow2: 0.00120687484741, tot: 0.189783065
FPS: 5.28766994631, fr_cap: 0.00199007987976, t_calcs: 0.185834169388, imshow2: 0.00124597549438, tot: 0.189119217
FPS: 5.12646778142, fr_cap: 0.00167202949524, t_calcs: 0.192109823227, imshow2: 0.00123810768127, tot: 0.195066085
FPS: 5.14850348604, fr_cap: 0.00169277191162, t_calcs: 0.191266059875, imshow2: 0.00122809410095, tot: 0.194231198
FPS: 5.21097182207, fr_cap: 0.00180006027222, t_calcs: 0.188822984695, imshow2: 0.00122904777527, tot: 0.191902784
FPS: 5.12828476126, fr_cap: 0.00188207626343, t_calcs: 0.191817998886, imshow2: 0.00123810768127, tot: 0.194996972
FPS: 5.29065974654, fr_cap: 0.00186204910278, t_calcs: 0.185862064362, imshow2: 0.00122880935669, tot: 0.189012344
FPS: 5.28396791243, fr_cap: 0.00173902511597, t_calcs: 0.186209201813, imshow2: 0.00124979019165, tot: 0.189251717
FPS: 5.27274238057, fr_cap: 0.00173711776733, t_calcs: 0.186628818512, imshow2: 0.00124001502991, tot: 0.189654629
FPS: 5.22025604468, fr_cap: 0.00186586380005, t_calcs: 0.188411951065, imshow2: 0.00122690200806, tot: 0.191561485
FPS: 5.330957688, fr_cap: 0.00162887573242, t_calcs: 0.184437036514, imshow2: 0.00146889686584, tot: 0.187583556
FPS: 5.2644656157, fr_cap: 0.00196313858032, t_calcs: 0.186711072922, imshow2: 0.00123286247253, tot: 0.189952803
FPS: 5.22138748191, fr_cap: 0.0018630027771, t_calcs: 0.188295841217, imshow2: 0.00131416320801, tot: 0.191519975
FPS: 5.19971599567, fr_cap: 0.00169014930725, t_calcs: 0.189343929291, imshow2: 0.00123810768127, tot: 0.192318196
FPS: 5.29114526839, fr_cap: 0.00169897079468, t_calcs: 0.186019897461, imshow2: 0.0012218952179, tot: 0.188995
FPS: 5.22200664096, fr_cap: 0.0016930103302, t_calcs: 0.188504934311, imshow2: 0.0012469291687, tot: 0.191497267
FPS: 5.29677232703, fr_cap: 0.00181198120117, t_calcs: 0.185693025589, imshow2: 0.0012321472168, tot: 0.18879422
FPS: 5.23529000517, fr_cap: 0.00173187255859, t_calcs: 0.187983036041, imshow2: 0.00124502182007, tot: 0.191011386
FPS: 5.24243007121, fr_cap: 0.00199794769287, t_calcs: 0.187477111816, imshow2: 0.00123000144958, tot: 0.190751233
FPS: 5.13406472843, fr_cap: 0.00173091888428, t_calcs: 0.191763877869, imshow2: 0.0012321472168, tot: 0.194777443
FPS: 5.25439229627, fr_cap: 0.00171589851379, t_calcs: 0.187335014343, imshow2: 0.00121808052063, tot: 0.190316966
FPS: 5.16260163672, fr_cap: 0.00171685218811, t_calcs: 0.19068312645, imshow2: 0.00125288963318, tot: 0.193700787
FPS: 5.29187150597, fr_cap: 0.00180697441101, t_calcs: 0.185871124268, imshow2: 0.00124001502991, tot: 0.188969063
FPS: 5.24461959982, fr_cap: 0.0018482208252, t_calcs: 0.187514066696, imshow2: 0.00125408172607, tot: 0.190671598
FPS: 5.03673248709, fr_cap: 0.00123286247253, t_calcs: 0.195918083191, imshow2: 0.00134301185608, tot: 0.198541416
FPS: 5.17137566619, fr_cap: 0.00221300125122, t_calcs: 0.189867973328, imshow2: 0.00124502182007, tot: 0.193372144
FPS: 5.04780791496, fr_cap: 0.00182294845581, t_calcs: 0.194951057434, imshow2: 0.00128698348999, tot: 0.198105795
FPS: 5.09791091026, fr_cap: 0.0017728805542, t_calcs: 0.193099021912, imshow2: 0.00123810768127, tot: 0.196158783
FPS: 5.16684171065, fr_cap: 0.00190615653992, t_calcs: 0.190256118774, imshow2: 0.00132989883423, tot: 0.19354183
FPS: 4.92679307727, fr_cap: 0.00118899345398, t_calcs: 0.200474977493, imshow2: 0.00126314163208, tot: 0.202971788
FPS: 5.28304179035, fr_cap: 0.00161600112915, t_calcs: 0.186369180679, imshow2: 0.00125193595886, tot: 0.189284893
FPS: 5.24915191421, fr_cap: 0.00180888175964, t_calcs: 0.187409877777, imshow2: 0.00123906135559, tot: 0.190506965
FPS: 5.23847527451, fr_cap: 0.00185108184814, t_calcs: 0.18766617775, imshow2: 0.00132298469543, tot: 0.190895241
FPS: 5.19215387874, fr_cap: 0.00189614295959, t_calcs: 0.189383983612, imshow2: 0.00126004219055, tot: 0.192598298
FPS: 5.14502405353, fr_cap: 0.00180983543396, t_calcs: 0.191261053085, imshow2: 0.00123596191406, tot: 0.194362551
FPS: 5.22827752379, fr_cap: 0.00174999237061, t_calcs: 0.188230991364, imshow2: 0.00123906135559, tot: 0.191267582
FPS: 5.16884051128, fr_cap: 0.0016770362854, t_calcs: 0.190509080887, imshow2: 0.00123500823975, tot: 0.193466987
FPS: 5.08078109144, fr_cap: 0.00173377990723, t_calcs: 0.193706989288, imshow2: 0.00133109092712, tot: 0.196820131
FPS: 4.99679518049, fr_cap: 0.00153684616089, t_calcs: 0.197312116623, imshow2: 0.00122880935669, tot: 0.200128275
FPS: 5.04404444477, fr_cap: 0.00187301635742, t_calcs: 0.195093154907, imshow2: 0.00123286247253, tot: 0.198253606
FPS: 5.11454616875, fr_cap: 0.00188684463501, t_calcs: 0.192358016968, imshow2: 0.00122499465942, tot: 0.195520769
FPS: 5.04776808946, fr_cap: 0.00168585777283, t_calcs: 0.195128917694, imshow2: 0.00123715400696, tot: 0.198107358
FPS: 5.10917439681, fr_cap: 0.0020010471344, t_calcs: 0.192431926727, imshow2: 0.00123310089111, tot: 0.195726339
FPS: 5.12434977766, fr_cap: 0.00226593017578, t_calcs: 0.191598176956, imshow2: 0.00123286247253, tot: 0.19514671
FPS: 5.10128892278, fr_cap: 0.00205588340759, t_calcs: 0.192688941956, imshow2: 0.00123405456543, tot: 0.196028889
FPS: 4.96843792356, fr_cap: 0.00188803672791, t_calcs: 0.198088884354, imshow2: 0.00123500823975, tot: 0.201270503
FPS: 4.84606588037, fr_cap: 0.00179576873779, t_calcs: 0.203249931335, imshow2: 0.00126004219055, tot: 0.206352952
FPS: 4.95042672381, fr_cap: 0.00164985656738, t_calcs: 0.199058055878, imshow2: 0.0012469291687, tot: 0.202002788
FPS: 4.79876275611, fr_cap: 0.00175786018372, t_calcs: 0.205356121063, imshow2: 0.00122284889221, tot: 0.208387047
FPS: 5.05565257297, fr_cap: 0.00202894210815, t_calcs: 0.194489002228, imshow2: 0.00122904777527, tot: 0.197798402
FPS: 4.87882603697, fr_cap: 0.00165009498596, t_calcs: 0.202028989792, imshow2: 0.00122904777527, tot: 0.204967341
FPS: 4.92076127641, fr_cap: 0.00199294090271, t_calcs: 0.199908971786, imshow2: 0.00126695632935, tot: 0.203220588
FPS: 4.90636487211, fr_cap: 0.00174498558044, t_calcs: 0.200706958771, imshow2: 0.00131607055664, tot: 0.203816884
FPS: 4.74769360368, fr_cap: 0.00178194046021, t_calcs: 0.207581996918, imshow2: 0.00121998786926, tot: 0.210628588
FPS: 4.95954922221, fr_cap: 0.00194311141968, t_calcs: 0.198397874832, imshow2: 0.00123906135559, tot: 0.201631228
FPS: 4.937227229, fr_cap: 0.0016131401062, t_calcs: 0.199656009674, imshow2: 0.00123119354248, tot: 0.202542835
FPS: 4.83180830431, fr_cap: 0.00168204307556, t_calcs: 0.203904151917, imshow2: 0.00132584571838, tot: 0.206961853
FPS: 4.54877014401, fr_cap: 0.00167107582092, t_calcs: 0.216883897781, imshow2: 0.00123620033264, tot: 0.219839642
FPS: 4.29567136966, fr_cap: 0.00187015533447, t_calcs: 0.229523897171, imshow2: 0.00134706497192, tot: 0.232792482
FPS: 4.36108381969, fr_cap: 0.00179505348206, t_calcs: 0.226214885712, imshow2: 0.00123500823975, tot: 0.229300798
