FPS: 5.47061992627, fr_cap: 0.00522708892822, t_calcs: 0.176028013229, imshow2: 0.00147080421448, tot: 0.18279464
FPS: 5.53469669812, fr_cap: 0.00553297996521, t_calcs: 0.173609972, imshow2: 0.00146794319153, tot: 0.180678374
FPS: 5.39126199782, fr_cap: 0.00523209571838, t_calcs: 0.178736925125, imshow2: 0.0014500617981, tot: 0.185485328
FPS: 5.58398130876, fr_cap: 0.00523591041565, t_calcs: 0.172076940536, imshow2: 0.00170612335205, tot: 0.179083694
FPS: 5.57733722639, fr_cap: 0.00521087646484, t_calcs: 0.172295093536, imshow2: 0.00172090530396, tot: 0.17929703
FPS: 5.35496487818, fr_cap: 0.00515508651733, t_calcs: 0.179607152939, imshow2: 0.00191497802734, tot: 0.186742588
FPS: 5.56408226433, fr_cap: 0.00655698776245, t_calcs: 0.171365022659, imshow2: 0.00171303749084, tot: 0.179724158
FPS: 5.45631572146, fr_cap: 0.00514793395996, t_calcs: 0.176357984543, imshow2: 0.00170207023621, tot: 0.183273852
FPS: 5.19907905385, fr_cap: 0.00517702102661, t_calcs: 0.185652017593, imshow2: 0.0014500617981, tot: 0.192341757
FPS: 5.52362586798, fr_cap: 0.00735402107239, t_calcs: 0.171887874603, imshow2: 0.00171899795532, tot: 0.181040502
FPS: 5.36881882051, fr_cap: 0.0124039649963, t_calcs: 0.172339916229, imshow2: 0.0014500617981, tot: 0.186260709
FPS: 5.31833050734, fr_cap: 0.00509715080261, t_calcs: 0.181059122086, imshow2: 0.00180602073669, tot: 0.188028931
FPS: 5.37524112122, fr_cap: 0.00520515441895, t_calcs: 0.179319143295, imshow2: 0.00144004821777, tot: 0.186038166
FPS: 5.59368506518, fr_cap: 0.00554800033569, t_calcs: 0.171710014343, imshow2: 0.00145292282104, tot: 0.178773025
FPS: 5.36744880934, fr_cap: 0.00511503219604, t_calcs: 0.179327011108, imshow2: 0.00179696083069, tot: 0.186308251
FPS: 5.44012720845, fr_cap: 0.00696301460266, t_calcs: 0.175090789795, imshow2: 0.00169205665588, tot: 0.183819231
FPS: 5.41421236811, fr_cap: 0.0124540328979, t_calcs: 0.170637845993, imshow2: 0.00154113769531, tot: 0.184699072
FPS: 5.351917417, fr_cap: 0.00553894042969, t_calcs: 0.179797887802, imshow2: 0.0014431476593, tot: 0.186848922
FPS: 5.603002685, fr_cap: 0.00555515289307, t_calcs: 0.171154022217, imshow2: 0.00170111656189, tot: 0.178475731
FPS: 5.33710414685, fr_cap: 0.0123479366302, t_calcs: 0.17324090004, imshow2: 0.00171399116516, tot: 0.187367526
FPS: 5.33544708096, fr_cap: 0.00534892082214, t_calcs: 0.180283069611, imshow2: 0.0017249584198, tot: 0.187425718
FPS: 5.598988433, fr_cap: 0.00514483451843, t_calcs: 0.171938896179, imshow2: 0.00145101547241, tot: 0.178603691
FPS: 5.36396986895, fr_cap: 0.0124750137329, t_calcs: 0.172436952591, imshow2: 0.0014488697052, tot: 0.186429086
FPS: 5.28065169325, fr_cap: 0.00541210174561, t_calcs: 0.182116031647, imshow2: 0.00177812576294, tot: 0.189370566
FPS: 5.43824239486, fr_cap: 0.00771808624268, t_calcs: 0.174380064011, imshow2: 0.00170803070068, tot: 0.18388294
FPS: 5.24058902229, fr_cap: 0.012286901474, t_calcs: 0.176366090775, imshow2: 0.00210094451904, tot: 0.190818245
FPS: 5.05687917008, fr_cap: 0.00552105903625, t_calcs: 0.190713882446, imshow2: 0.00144910812378, tot: 0.197750424
FPS: 4.96720726754, fr_cap: 0.00559902191162, t_calcs: 0.194110155106, imshow2: 0.00154590606689, tot: 0.201320369
FPS: 5.20876050595, fr_cap: 0.00608801841736, t_calcs: 0.184359073639, imshow2: 0.00146794319153, tot: 0.191984254
FPS: 5.30062556181, fr_cap: 0.0052638053894, t_calcs: 0.181614160538, imshow2: 0.00171279907227, tot: 0.188656978
FPS: 5.13422291139, fr_cap: 0.00513195991516, t_calcs: 0.187878847122, imshow2: 0.00169610977173, tot: 0.194771442
FPS: 5.56644649367, fr_cap: 0.0050950050354, t_calcs: 0.17275595665, imshow2: 0.00173115730286, tot: 0.179647824
FPS: 5.39763252281, fr_cap: 0.00523591041565, t_calcs: 0.178504943848, imshow2: 0.00145602226257, tot: 0.18526641
FPS: 5.31830694634, fr_cap: 0.00695896148682, t_calcs: 0.179555892944, imshow2: 0.00143814086914, tot: 0.188029764
FPS: 5.55811868199, fr_cap: 0.00543093681335, t_calcs: 0.172967910767, imshow2: 0.00144720077515, tot: 0.179916993
FPS: 5.40642119889, fr_cap: 0.00514793395996, t_calcs: 0.178300142288, imshow2: 0.00145506858826, tot: 0.184965241
FPS: 5.4027651179, fr_cap: 0.00517702102661, t_calcs: 0.178382158279, imshow2: 0.00146698951721, tot: 0.185090408
